instance,n,m,k,UB,span,time,variables,clauses,solver,status,sym_breaking
instance1.txt,10,15,15,80,33,0.03,2400,6440,Cadical195,SAT,YES
instance2.txt,12,20,25,107,53,0.04,3852,10652,Cadical195,SAT,YES
instance3.txt,12,40,20,107,83,0.07,3852,12792,Cadical195,SAT,YES
instance4.txt,15,30,29,211,63,0.15,9495,27581,Cadical195,SAT,YES
instance5.txt,18,60,20,189,83,0.23,10206,34326,Cadical195,SAT,YES
instance6.txt,20,25,12,119,26,0.12,7140,19079,Cadical195,SAT,YES
instance7.txt,20,100,13,128,68,0.51,7680,30128,Cadical195,SAT,YES
instance8.txt,25,30,15,193,33,0.29,14475,38693,Cadical195,SAT,YES
instance9.txt,25,150,20,253,123,1.79,18975,81113,Cadical195,SAT,YES
instance10.txt,25,250,23,333,256,146.76,24975,140093,Cadical195,SAT,YES
instance11.txt,30,100,50,716,158,6.59,64440,218976,Cadical195,SAT,YES
instance12.txt,33,200,50,817,256,122.99,80883,348727,Cadical195,SAT,YES
instance13.txt,35,500,30,586,428,600.09,61530,434086,Cadical195,TIMEOUT,YES
instance14.txt,40,300,30,620,185,600.05,74400,356960,Cadical195,TIMEOUT,YES
instance15.txt,45,150,4,111,45,0.19,14985,50991,Cadical195,SAT,YES
instance16.txt,50,600,45,1150,374,600.11,172500,1087700,Cadical195,TIMEOUT,YES
