instance,n,m,k,UB,span,time
instance1.txt,10,15,15,80,49,0.03
instance2.txt,12,20,25,107,79,0.04
instance3.txt,12,40,20,107,85,0.03
instance4.txt,15,30,29,211,90,0.12
instance5.txt,18,60,20,189,105,0.22
instance6.txt,20,25,12,119,37,0.27
instance7.txt,20,100,13,128,95,0.23
instance8.txt,25,30,15,193,50,1.47
instance9.txt,25,150,20,253,168,1.39
instance10.txt,25,250,23,333,332,0.53
instance11.txt,30,100,50,716,304,8.7
instance12.txt,33,200,50,817,360,22.57
instance13.txt,35,500,30,586,579,5.92
instance14.txt,40,300,30,620,277,118.75
instance15.txt,45,150,4,111,N/A,600.02
instance16.txt,50,600,45,1150,N/A,600.07
